index,task_type,prompt,ori_image,target_image
1,t2i,一棵令人惊叹的树从太空中的一颗小行星上生长出来，细节复杂，自然光线照射，呈现出超现实的3D渲染效果。,,
2,t2i,宁静的天空中，以概念艺术风格绘制的平和蓬松的云朵，分辨率为4K。,,
3,t2i,一张逼真的照片，展示了一位皮肤光滑的男性机器人，它像雕像一样在工厂中摆出姿势。,,
4,t2i,这是一幅以平滑的数字肖像插画概念艺术风格描绘的身穿宇航服的年轻宇航员。,,
5,t2i,A vibrant cityscape at dawn with sharp focus and bright colors in a matte finish,,
6,t2i,一个男人在舒适的客厅里一边看书一边享受着饮料。,,
7,t2i,太阳镜在逼真的虚拟环境中反射出一幅令人惊叹的宇宙景象。,,
8,t2i,一个男人骑着一辆带篮子的小自行车，沿着森林中陡峭的道路骑行。,,
9,t2i,获奖的海滩场景，五彩斑斓的灯光和灯笼照亮的夜空下的临时小屋。,,
10,t2i,a woman in a white shawl stands in a garden with red flowers blooming around her,,
11,t2i,A toy set inspired by mythical creatures in a fantasy world,,
12,t2i,Spiderweb-covered piano in vast silent hall with soft light creating a somber mood,,
13,t2i,一个脸上有发光雀斑、头发凌乱的青少年站在一个充满奇思妙想的独立工作室场景中，逆光而立。,,
14,t2i,这幅画描绘了一幅宁静的风景，色彩鲜艳，笔触细腻。,,
15,t2i,African American woman wears turquoise helmet mask and pink cloak in a gold canopy,,
16,t2i,在晴朗的蓝天之下，一条被薄雾笼罩的林荫大道上，迎来了一个秋天的早晨。,,
17,t2i,在宁静的环境中，著名艺术家们描绘了一片在晴朗天空下的平静海洋。,,
18,t2i,Two mystics gather by a fire as a mythical bird ascends from a distant volcano in a serene landscape,,
19,t2i,A high detail 4k professional photograph of a cowboy in a wild west town scene,,
20,t2i,这是一幅1950年代游戏节目的超写实主义画作，画面中一位女性在一个反光的环境中打高尔夫球。,,
21,t2i,一个男人在一个充满活力的淡彩世界中探索蒸汽朋克风格的门户，这个世界以干净的矢量艺术呈现。,,
22,t2i,Samurai skeleton with blue eyes in a dark fantasy scene intricately detailed digital painting art concept illustration,,
23,t2i,一个宁静的公园场景，有鲜艳的花朵和人们在阳光下和谐地享受美好时光。,,
24,t2i,一个宁静的海滩场景，一位穿着蓝色长袍的女子在黄金时刻手持生日蛋糕。,,
25,t2i,Exoskeletal device malfunctioned at railroad station causing delay,,
26,t2i,Creative anime style illustration of a dog girl with fairy wings and heart effects on a simple background,,
27,t2i,A soccer player kicks a ball in a sunny park scene,,
28,t2i,A classic black and white illustration of a woman in vintage attire,,
29,t2i,A detailed eerie and grim creature in a dark forest at night,,
30,t2i,这是一幅以照片般逼真的数字绘画风格呈现的神奇花园，花园里有彩虹般闪耀的花朵和柔和的灯光。,,
31,t2i,在一个未来城市景观中，有一条充满活力的科技朋克小巷，霓虹灯闪烁，机器人熙熙攘攘。,,
32,t2i,A detailed 8K resolution photo of a well-designed garden in a sunny park,,
33,t2i,A skilled warrior stands in heroic stance wielding a spear in a vivid digital artwork,,
34,t2i,A detailed realistic painting of a musician in an art nouveau style,,
35,t2i,为一个幻想世界创作一个以自然为灵感的详细游戏资产，采用蓝粉色调的水粉画风格。,,
36,t2i,Corn sprouted legs and fled captured in a vintage Polaroid photo,,
37,t2i,这是一幅由安东·皮克创作的、背景充满风暴的、细节丰富的数字绘画，描绘了一位霜冻海盗。,,
38,t2i,A dramatic painting of a woman in Caravaggio style with vivid colors,,
39,t2i,A spaceship launches from a city in a digital art style inspired by Van Gogh's Starry Night,,
40,t2i,girl with flowing hair in ocean breeze scene,,
41,t2i,A vibrant outdoor scene of modern art objects in bold colors and memphis design style in 1920,,
42,t2i,保时捷911 Carrera 3.2在公路上行驶，背景是森林，金色时刻的光线和薄雾场景的详细照片打印。,,
43,t2i,一个穿着eva作战服的年轻女孩站在泰坦上，土星环在电影般的灯光下清晰可见,,
44,t2i,A serene beach scene with soft sand gentle waves and clear blue skies,,
45,t2i,一位男士在70年代苏联风格的舞厅中优雅地跳舞，那里充满了复古的魅力和温暖的灯光。,,
46,t2i,在柔和而神秘的灯光下，博物馆里展示着一件由黏土和大理石制成的活动雕塑。,,
47,t2i,Crystal skull in 8k cinematic detailed intricate scene,,
48,t2i,黄昏时分，一条美丽的街道，紫藤花般的紫色灯光照亮了古老的房屋，超精细的8K艺术作品。,,
49,t2i,A detailed 8k sci-fi fantasy film still photo featuring a basketball player in a floral ornate setting,,
50,t2i,Epic patriotic mech in a vast battlefield scene with cinematic lighting and ultra realistic details,,
51,t2i,这是一张用相机拍摄的老虎脸部特写照片，照片中老虎的面部细节丰富，对比度高，显得非常威严。,,
52,t2i,在皮克斯温馨的家庭场景中，有一只友好的卡通狗。,,
53,t2i,在神秘森林中的一座宏伟庄园，有一个可爱的花园，里面长满了蘑菇，人们在动态的月光艺术下讨论着。,,
54,t2i,在一张黑白照片中，一位老人在一头猪的旁边，从满是落叶的地面上采集松露。,,
55,t2i,A superhero in a city at night with bright lights and shadows captured in a stunning 8k photo,,
56,t2i,这是一幅由多位艺术家创作的美丽公主的详细肖像，画面充满了电影般的戏剧氛围。,,
57,t2i,柯达Portra 400胶卷捕捉到了一个宁静的秋季野餐场景，背景是阳光明媚的托斯卡纳乡村，色调柔和，充满复古魅力。,,
58,t2i,奥托每天从黎明到黄昏都在电脑前不知疲倦地工作，没有休息。,,
59,t2i,一个男人和一只猫在一个光线明亮、有柔和阴影的房间里一起玩耍。,,
60,t2i,穿着超人服装的超级马里奥在电影灯光下飞行，带有散景和镜头光晕效果。,,
61,t2i,令人敬畏的古代全息图，色彩柔和，几何图案复杂，并在工作室环境中点缀着金色碎片。,,
62,t2i,一只毛茸茸的小麻雀在温暖的夜灯下，栖息在一个花形杯中，营造出一幅温馨的场景。,,
63,t2i,Mandelbrot crystal fluid thin gold wire tendrils ultra detailed photographic octane HD 16k hyperrealistic digital art masterpiece,,
64,t2i,武汉的河桥在夕阳下，紫色的天空在电影般的8K细节中。,,
65,t2i,A serene rural Spanish village scene painted in soft matte tones,,
66,t2i,Evening TV show studio with sofa and women in blue style art by an artist,,
67,t2i,A fit model in futuristic material poses for a simple background photo shoot with lush curls and petite body,,
68,t2i,在繁华城市场景中的时尚狐狸角色，这是一幅充满活力和细节的艺术作品，专为粉丝们打造。,,
69,t2i,一个闪亮的苹果，上面贴着时尚的标志贴纸，被以高质量的4K摄影捕捉到。,,
70,t2i,一个脸上涂着彩色颜料的男人在阳光明媚的公园里灿烂地笑着，背景柔和模糊，还有镜头光晕。,,
71,t2i,Fashion model in serene morning light with deep blue green water reflecting heaven mood in intricate poster art style,,
72,t2i,A man with a detailed face in a dark cinematic scene by an unknown director,,
73,t2i,充满希望的宇航员，金色的头发，在充满活力的红白太空场景中，灵感来源于艺术。,,
74,t2i,Gorgeous female in soft lighting captured in high definition artfully retouched by a skilled artist,,
75,t2i,一张在阳光明媚的日子里，8k分辨率下拍摄的幸福家庭在公园里的照片。,,
76,t2i,film of oil on water surface shines with rainbow colors,,
77,t2i,A young knight in white armor stands in a gothic cathedral with flowing hair and intricate armor details,,
78,t2i,Muscular cat hunter with weapon in sunlight oil painting by Rembrandt with dramatic clouds and atmosphere,,
79,t2i,玻璃温室里充满了沐浴在阳光下的花朵，在一个神秘的以太朋克世界中提供慰藉。,,
80,t2i,A couple repairs a spaceship interior in low key lighting with hyper real photorealistic cinematic beauty,,
81,t2i,这是一幅由受欢迎的艺术家创作的宁静沙漠风景画，画中有巨大的沙丘和柔和的色彩。,,
82,t2i,A dog tied a man to a pole in a digital painting with smooth sharp focus and cinematic lighting,,
83,t2i,A politician reflects on past decisions in a quiet office,,
84,t2i,A surreal scene with vibrant colors and dark tones in a triadic color scheme by an unknown artist,,
85,t2i,A classic art style portrait of a woman in a serene garden setting,,
86,t2i,这是一幅详细的油画，描绘了一个未来科幻角色，背景中有极光、云彩、星星和巴洛克元素。,,
87,t2i,在一个宏伟大厅的魔幻氛围中，一个幻想角色被捕捉在高细节的8K图像中。,,
88,t2i,A man in blue sits on a bench facing away observing wall art with musical notes in background high quality detailed masterpiece,,
89,t2i,Majestic dragon roars in snowy mountain range with wings spread in ultra high quality 3D art,,
90,t2i,一位身穿紫色斗篷的女巫在奇幻的背景下对一只生物施法。,,
91,t2i,bold line art portrait inspired by minimalist style with confident curves and soft swirls expressing raw emotion,,
92,t2i,Mushrooms in a forest with sunlight filtering through trees creating a serene natural scene,,
93,t2i,A red fox in a forest at dawn with soft light and shadows in a digital painting,,
94,t2i,人们在一片草地上观看火箭在五彩斑斓的云彩下发射，草地上有一棵树。,,
95,t2i,A tiny cosmic phenomenon contained within a glass vessel,,
96,t2i,这是一幅详细的肖像画，描绘了一只具有蝙蝠特征的友好生物，背景是柔和的渐变色调。,,
97,t2i,Mushroom vase floats in sky and sea with purple scrolls colorful shells and koi fishes in soft light,,
98,t2i,Friendly light figures dance in a colorful field creating a mesmerizing scene of unity and harmony in art,,
99,t2i,liberal women with unique hairstyles captured in side profile headshots with f3.5 aperture and ISO 100 settings,,
100,t2i,New York City skyline in 1998 realistic digital art by artists trending on ArtStation highly detailed,,
101,t2i,这是一位由现代艺术家设计的未来感十足的人物，他戴着光滑的头盔，身上布满了电线。,,
102,t2i,夜晚的雾蒙蒙城市街道，五彩斑斓的灯光和未来感十足的汽车，构成了一幅充满活力的都市景象。,,
103,t2i,一个穿着粉色夹克和蓝色西装的未来风格角色，坐在一辆铬制车辆中，周围是戏剧性的灯光。,,
104,t2i,Summer lake scene with barge reed and clear sky in vibrant colors by skilled artists,,
105,t2i,一位探险家和他的狗在北极徒步旅行，这是一幅美丽的数字艺术杰作。,,
106,t2i,这是一幅宁静的数字画，描绘了一个充满发光植物和外星生物的系外行星丛林。,,
107,t2i,一只安静的草鸮栖息在安静社区中一个温馨家园的屋顶上。,,
108,t2i,迷人的水下场景，神奇的生物在充满活力的海洋中优雅地游动。,,
109,t2i,复古70年代的学校照片，照片中的人们有着古怪的眼神和笑容，被装在一个怀旧的、略带灰尘的相框中。,,
110,t2i,一对男女在一座中世纪风格的图书馆里聊天，图书馆的灯光效果变幻莫测，整体色调以蓝棕色为主。,,
111,t2i,一个人在热闹的俱乐部氛围中唱卡拉OK。,,
112,t2i,Two adventurers battle atop a moving train in a gritty industrial landscape under a stormy sky,,
113,t2i,在一个繁忙的城市场景中，一个女孩站在红绿灯旁，手里拿着一个西瓜。,,
114,t2i,An Egyptian woman in a diving mask underwater with ocean details by an artist,,
115,t2i,A lone traveler walks through a detailed city street with towering buildings in a futuristic setting,,
116,t2i,Girl walks through daisy field under starry night sky with surreal light and clouds in dreamlike scene,,
117,t2i,A photorealistic DJ in tech wear performs under studio lights in a detailed and intricate setting,,
118,t2i,鲍勃·罗斯用数字艺术创作了一幅宁静的风景画，画中有一只山羊在宁静的草地上，画面平滑且细节丰富。,,
119,t2i,A charming goblin princess portrait with a cute face in a magical forest setting,,
120,t2i,A samurai warrior with blue skin wears a haori kimono in a detailed official portrait,,
121,t2i,A serene park scene with soft sunlight filtering through trees creating a peaceful atmosphere for a quiet stroll,,
122,t2i,史诗般的、照片级逼真的4K肖像，具有电影般的光影和细节，使用Unreal Engine 5制作。,,
123,t2i,20世纪20年代的美国绘画中，母亲的眼泪唤起了一段令人动容的家庭时刻。,,
124,t2i,在热闹的节日场景中，一位身穿色彩斑斓服装、化着俏皮妆容的人的超高清自然照片。,,
125,t2i,A cute space cadet girl with elegant freckles and open eyes in wonder in a realistic anime style scene,,
126,t2i,New poster shows beige background with brown designs white text at bottom modern minimalist art by Di Cavalcanti,,
127,t2i,Specter appears before a chapel at night with soft glow and vintage film effect,,
128,t2i,这是一幅详细的插图，描绘了一位年轻的弓箭手在充满活力的森林环境中，柔和的光线和精致的细节使画面栩栩如生。,,
129,t2i,Orcas build an underwater city using coral and rock in a deep ocean environment creating a unique marine habitat,,
130,t2i,一位穿着闪亮礼服的美丽女士在一场华丽的活动中。,,
131,t2i,这是一幅宁静的花园景象，色彩鲜艳的花朵和茂盛的绿植在柔和的粉彩色调中显得格外美丽。,,
132,t2i,A magical forest where dinosaurs roam peacefully alongside humans in a whimsical world,,
133,t2i,一块银色怀表静静地躺在一个宁静的林地金字塔山谷中，背景柔和模糊。,,
134,t2i,一位美丽的年轻女王身着精致的装饰艺术风格长裙，站在一个对称的、超现实的银河场景中。,,
135,t2i,A pirate with a sharp face stands on a ship in realistic lighting,,
136,t2i,Pirates battle a giant worm in a dark fantasy scene with high detail and cinematic atmosphere in a film still,,
137,t2i,Two monkeys examine a red rotary phone on a sidewalk in a detailed realistic 4k masterpiece scene,,
138,t2i,a somber image of an aged clown with cotton candy hair and paint splashes evoking sadness,,
139,t2i,Family in a vibrant garden under the sun,,
140,t2i,a woman in white dress gazes at camera near fence,,
141,t2i,宇航员在未来的宇宙飞船中自拍，飞船内有发光的红外灯和复杂的宇航服细节。,,
142,t2i,Actor in costume holds a glowing sword in a dark room,,
143,t2i,A majestic creature in a vivid oil painting style blends shark and jaguar traits in ultra high definition,,
144,t2i,Claymation camping scene with happy bushbaby family barbequing playing toys in detailed Wes Anderson style setting,,
145,t2i,A vintage nature photo with 70s colors and film grain effects,,
146,t2i,这是一张2022年里斯本便利店的真实照片，其引人注目的建筑风格受到了阿尔丰斯·穆夏风格的启发。,,
147,t2i,A knight in armor stands in a dimly lit castle hall with dramatic shadows and vivid colors,,
148,t2i,A person holds a bowling ball in a fun pop culture scene,,
149,t2i,一个宁静的公园场景，人们在享受阳光明媚的日子。,,
150,t2i,这是一幅未来城市的景象，拥有流线型的摩天大楼和在夜晚照亮街道的鲜艳霓虹灯。,,
151,t2i,Modern city park with sleek design glowing in golden hour light rendered in 8k detail,,
152,t2i,天文摄影以超高清8K光线追踪的逼真效果捕捉银河系星云和太空云。,,
153,t2i,Steampunk figure with goggles and auburn hair in digital art style popular on art platforms,,
154,t2i,A young woman with green eyes and pink braids in a softly lit room with smooth focus art style,,
155,t2i,A futuristic robot artist creates stunning vector art in a sci-fi studio setting with global illumination effects,,
156,t2i,传统的日本艺术与未来城市景观在充满活力的数字世界中相遇。,,
157,t2i,一位宇航员在星空下探索宁静的月球景观 数字艺术作品,,
158,t2i,未来感十足的太阳能朋克城市，在暴风雨的傍晚天空下，拥有现代化的建筑和充满活力的城市生活。,,
159,t2i,这是一幅由多位艺术家创作的详细数字绘画，描绘了一位身穿盔甲和头盔的男性战士。,,
160,t2i,在氛围感十足的环境中捕捉到的未来感玩具，以详细的黑白紫外线照片呈现。,,
161,t2i,这是一幅夜晚的城市景观，色彩鲜艳，建筑未来感十足，置身于繁忙的城市环境中。,,
162,t2i,一只戴着复古面具的怀旧生物力学老鼠穿着长袍，站在巨大的花朵下，背景是戏剧性的灯光。,,
163,t2i,Shining blue forest with glowing foliage tall trees hanging vines and moss in a mystical scene,,
164,t2i,宇航员在夏威夷海滩上享受着阳光明媚的一天，放松身心，这是一张高分辨率4K自然照片。,,
165,t2i,森林和草原在宁静的景色中交融。,,
166,t2i,Toyota Celica turbo at night in Shibuya with detailed wheels and cinematic colors in photorealistic style,,
167,t2i,A bustling city square filled with people enjoying sunny weather,,
168,t2i,A workshop with colorful gears and steam pipes by a glowing window in 1950s style high detail digital art,,
169,t2i,A stunning sunset scene with warm golden light illuminates a peaceful park where people enjoy nature together,,
170,t2i,A princess in vibrant attire with intricate facial features in a fantasy setting,,
171,t2i,一位超级英雄站在一位政客旁边，观察着伦敦的一座著名钟楼。,,
172,t2i,一艘宇宙飞船探索了一个生机勃勃的生物机械外星世界，那里有色彩斑斓的生物和旋转的水涡。,,
173,t2i,人们在宁静的沙漠中欣赏一座雄伟的雕像，夕阳西下，天空呈现出梦幻般的珊瑚色。,,
174,t2i,为初学者提供的DIY指南，包含清晰的插图和文字说明，用于组装储物箱。,,
175,t2i,WLOP在ArtStation上以8K UHD官方媒体发布的史诗级数字绘画概念艺术正在流行。,,
176,t2i,a minimalist laughing skull enamel pin with fire flames in a vintage style high definition concept art,,
177,t2i,这是一张英雄冒险海报，展示了一场在繁忙城市夜景中进行的惊险救援任务。,,
178,t2i,a fluffy squirrel with cute fur in a forest scene,,
179,t2i,Two musicians meet on stage for a handshake in a concert hall,,
180,t2i,一对情侣在月光下探索雾蒙蒙的夜晚公园，2018年电影风格的场景。,,
181,t2i,A detective goose in neon dystopia core fights apocalyptic warriors with sharp focus and cinematic lighting,,
182,t2i,Celestial gardens with stained glass windows and hanging plants in a whimsical ethereal setting with godrays and soft light,,
183,t2i,一个穿着西装的人在正式场合中拿着一张宝丽来照片。,,
184,t2i,宇航员们在火星上享受音乐，这是一幅充满活力、细节丰富、色彩斑斓的数字画作，风格平滑、高清且半写实。,,
185,t2i,在一幅数字插画中，一个宏伟的幻想人物在戏剧性的光线中矗立，细节复杂精致。,,
186,t2i,这是一幅用自然光拍摄的两位女性肖像，她们的面部特征细节丰富，脸型对称，画面捕捉了她们的半身。,,
187,t2i,A scientist in a video game lab experiments with chemicals to create new weapons for players to use in battles,,
188,t2i,A smooth digital painting of a fantasy scene with intricate elegant details in sharp focus art,,
189,t2i,vector patterns are beautiful and intricate designs in art,,
190,t2i,Eagle view captures joyful crowd embracing in unity,,
191,t2i,a skull in a cowboy hat on a starry night sky backdrop,,
192,t2i,A detailed anatomical illustration of a human heart rendered in Unreal Engine 5 trending on Flickr,,
193,t2i,穿着达美航空公司飞行员制服的人形雄性熊，由艺术家们以细致的柔和光线进行风格化处理，并在Octane中渲染。,,
194,t2i,一位穿着时尚的女性在电影般的灯光下，穿着高跟鞋走过雾蒙蒙的城市景观。,,
195,t2i,girl riding a motorcycle in a cityscape at sunset,,
196,t2i,这是一幅令人惊叹的数字画，描绘了一位罗马贞女，画面在优雅的光线中呈现出锐利的焦点和精细的细节。,,
197,t2i,Witnessing a breathtaking sunset over the ocean with stars twinkling above painting by Karel Thole oil on canvas,,
198,t2i,Masquerade mask princess in a grand ballroom with elegant guests and shimmering chandeliers,,
199,t2i,这是一幅全身肖像画，描绘了一位身穿钢铁战甲的超级英雄，采用了电影般的光影效果和高细节描绘。,,
200,t2i,一位拥有黑色头发、穿着蓝色和灰色幻想服装的女巫在ArtStation上以4K艺术作品的形式走红。,,
201,t2i,一位卷发女子在聚光灯下欢快地跳舞，身着粉蓝相间的服装，脸上洋溢着喜悦的笑容。,,
202,t2i,在一个宁静的森林场景中，一个穿着紧身衣的蓝皮肤外星人通过自然的魔力变成了一只鸟。,,
203,t2i,请提供一个清晰的prompt以便我能进行适当的改写和调整。,,
204,t2i,秋天的树叶在宁静的公园场景中轻轻飘落。,,
205,t2i,A dancer performs on a vibrant stage in a colorful remake of a classic film,,
206,t2i,一个穿着防护服的男孩背着一个装有植物的玻璃背包，穿过烟雾弥漫的城市景象。,,
207,t2i,蒸汽朋克风格的长颈鹿机器人在一个宁静的日本花园场景中。,,
208,t2i,Elegant fox head torch holder in smooth digital art style with sharp focus and intricate details,,
209,t2i,Elegant digital artwork of a woman with flowing hair in a serene garden setting,,
210,t2i,Explore vibrant art styles blending surrealism and realism in a bustling cityscape,,
211,t2i,a simple drawing of a generic banknote in a realistic style,,
212,t2i,一个短发女孩在阳光明媚的天气里，在阿格德角海滩上欢快地跳跃。,,
213,t2i,这是一幅令人惊叹的马赛克艺术品，以阿尔弗雷多·坎德拉雷斯的风格呈现，具有逼真且细致的构图。,,
214,t2i,Elegant luxury logo for Nano a cosmetic audiovisual production studio,,
215,t2i,在一个赛博朋克世界的电影场景中，一个社交尴尬的机器人。,,
216,t2i,Elegant steampunk figure in brown blue dress poses symmetrically with detailed eyes in spooky middle shot scene,,
217,t2i,Girl strolls through mid-century hotel with symmetrical decor in vivid hues and fanciful details,,
218,t2i,这是一幅背景细节丰富的插画，描绘了一位英雄的清晰肖像，他以动态姿势手持一把武士刀。,,
219,t2i,在绿色雾气弥漫的场景中，有一个可爱的拟人化角色，场景设计精致优雅，光线效果戏剧化。,,
220,t2i,从低角度看到的一幅逼真的海龟在靠近一个装满历史文物的宽敞阁楼附近睡觉的画作。,,
221,t2i,在梦幻的数字艺术风格中，从下方仰望一棵高耸入云的树。,,
222,t2i,2044年，一位未来主义工程师戴着流线型头盔，头盔上有发光的电线和高科技面罩，在一个充满活力的空间站中工作。,,
223,t2i,A knight in golden armor holds a shield and spear under god rays in a sacred magic filled scene,,
224,t2i,可爱的动漫女孩穿着细节精致、阴影逼真的蒸汽朋克盔甲，置身于明亮、欢快的环境中。,,
225,t2i,孩子们坐在草地上，看着宁静的宇宙飞船在天空中漂浮，这是一个宁静的数字场景。,,
226,t2i,一个人站在白色背景前，以在ArtStation上流行的幻想艺术风格呈现。,,
227,t2i,A king and queen in a bright desert captured in a detailed studio quality CGI art shot,,
228,t2i,在一个色彩斑斓的数字艺术场景中，一位友好的篮球运动员遇到了一只巨大的友好怪物。,,
229,t2i,这是一张情绪化的户外照片，展示了茂密的深色植物，细节在浓郁的深色中散发着光芒。,,
230,t2i,Vernon，一个戴着耳机背心和连体衣的谨慎黑客，穿梭在一个具有真实比例的阴郁工业城市景观中。,,
231,t2i,这是一幅8K分辨率的数字绘画，描绘了一位穿着奇幻服装的女性站在悬崖上，俯瞰着一片森林山谷。,,
232,t2i,一张喜剧演员的照片，细节丰富，在ArtStation上非常流行，具有散景效果，使用90毫米f/1.4镜头拍摄。,,
233,t2i,Minimal acorn transforms into treble clef tree with vibrant colors and inspirational power in high resolution clarity,,
234,t2i,A child expresses joy in a playground scene,,
235,t2i,High quality portrait art with intricate detail and cinematic shot style trending on artstation,,
236,t2i,a young woman in a floral dress stands in a sunlit garden,,
237,t2i,一个女孩在一家灯光柔和、细节丰富的温馨咖啡馆里享用一碗拉面。,,
238,t2i,A detailed 8k render of a stylized character in dim lighting with intricate details and epic composition,,
239,t2i,dewdrop glistens on soft flower petal in morning light,,
240,t2i,Large spear-shaped spaceship concept art by an artist in space exploration museum,,
241,t2i,A student in a modern school uniform stands in a classroom learning diligently,,
242,t2i,在奇幻森林场景中，一只龙握着一把发光的剑，8K超现实数字艺术作品。,,
243,t2i,A student in uniform dances gracefully in a well-lit classroom with soft shadows and detailed artistry,,
244,t2i,Fashionable woman in boho style sits at night under red light with thunder clouds in sky,,
245,t2i,A serene landscape with a smiling figure in elegant attire amidst nature's beauty in soft light,,
246,t2i,这是一幅美丽的扁平化矢量艺术作品，描绘了一轮蓝紫色调的月亮，背景为黑色。,,
247,t2i,Children playing safely in a sunny park with colorful balloons and happy faces,,
248,t2i,一位受流行电子游戏和艺术家启发的幻想艺术风格的女士。,,
249,t2i,Screenshot of a character in a video game talking to another character in a post-apocalyptic setting,,
250,t2i,A girl in blue and yellow holds a flag facing a distant ship under moonlight in a steampunk scene,,
251,tie,把背景p成上海外滩,fb81398d8c0b47b088f0bb3f6cc95902.png,
252,tie,change the color of shirt to gray,f06685fcc15046aca726288ea996ddf9.png,
253,tie,Transform the image into a retro aesthetic.,4546a3a41eb9483b8082d16739cab3c0.png,
254,tie,Make the picture seem like it was taken outdoors at food festival,e387afbd7af44831a56cce88e328be30.png,
255,tie,Remove the red outline from the skateboarder in the air.,c2e6fdf24d9646c3acdd3765235e777b.png,
256,tie,Remove the cat from under the monitor.,42119230876347f3ab8547a280bbd47a.png,
257,tie,Add a bottle of red wine behind the glass.,55646b2dc5284fef8d81f456dc08e05d.png,
258,tie,"Change the pizza box to a plate of salad with lettuce and plum tomatos; change the man to a white female with long blond, straight hair.",a7f41f206c2348059b56bdf1983622db.png,
259,tie,Change the pizza into an apple pie.,4d4b6ae1568645e1b958e9629e4d0876.png,
260,tie,Take away the tallest tree from the image.,2ea6f3a0f3fa407ebd6c75f35124f869.png,
261,tie,帮我把背景去掉,ccbb99bd494946f99597e9d07237f345.png,
262,tie,Add some snow to the background.,7f9d734c66e54fb8b9b6fc0be7224997.png,
263,tie,背景换成在日式神社门口,a52757ec2978429f9177126d0ec16c81.png,
264,tie,Remove the cup with the pink drink,e8b979b0d4b3479293c843e6212d8a96.png,
265,tie,去掉他脸上的胡子和皱纹,62ae40ed9cbd4edc878ba997e4d6cb5b.png,
266,tie,Close the umbrella that the woman is holding.,a0e4f10cb93c4ca0bc1dd4bffbb6b680.png,
267,tie,The wheel of the back tire of the bike should be dirty.,04b5bc25acc8410c9a4a9e2b5fc3ba76.png,
268,tie,Remove all the post its from the photo,5c734cbbb78945ebac06da6436d36b19.png,
269,tie,车身颜色改成蓝色,d6e4b4ce3bc8467eb630022484affc88.png,
270,tie,turn the street light into a flag pole,e040422c8bf64a2bbcfb71b4d351868a.png,
271,tie,Add a cheese grater near the coffee maker.,e54e9cd85de64298820d40a36356b85d.png,
272,tie,change the frisbee into a lead anvil,13d84c8e5b3a4a118853418711933c1c.png,
273,tie,Edit the image so that the child's face is clean.,3b428760f9f142ac9c9bc23dc35e5857.png,
274,tie,Remove the blue skis that are next to the snowboard.,3156ae9f36e148ccae9bd2ae12e6eb11.png,
275,tie,Change the green leaf on the top of the front object to a toothpick flag.,1ac95c0e449d4798850e273b3f5b17e0.png,
276,tie,turn the cow into an orange kitten,4588920f809a44b9b2b3cf5d09acf66b.png,
277,tie,Make him grow long hair,d8fb6b34f8be4ce884ddf72e89e353ec.png,
278,tie,Remove the boxes from the photo,6e9975d4e0d5417f8371c4dd1c1c463c.png,
279,tie,Change this image to a Pixar style with a background of a vibrant spring park while keeping the character unchanged.,e4952042183143d38f816a56524f9749.png,
280,tie,Make this in an elegant restaurant,3e2a1701e0a84d7890cb2e69efb50cec.png,
281,tie,Make the room seem like it is on fire.,08c43cbe285f40a3a59e3e2dd18abe76.png,
282,tie,Add an advertisement to the wall behind the camera man.,18cf7fa0a3dd45c0b3d37109ba22fed6.png,
283,tie,"Can you Photoshop a girlfriend for me? Sitting alone is boring, and I’ve already left space for her.",66865d86cbe94116ba574eebe9235fbe.png,
284,tie,Change the background to a city street.,110ec477456a4d58bda9535c76be7dde.png,
